        Step,        Time,           U,           T,           H
           0,  0.00000000,-24.66978733,  1.90790684,-22.76188048
        1000,  9.99999978,-42.27156478, 19.46607242,-22.80549236
        2000, 19.99999955,-36.76016432, 14.00084453,-22.75931978
        3000, 29.99999933,-34.33128796, 11.56197219,-22.76931577
        4000, 39.99999911,-35.24336741, 12.47514558,-22.76822183
        5000, 49.99999888,-39.17490235, 16.38836439,-22.78653795
        6000, 59.99999866,-38.65450174, 15.89748135,-22.75702039
        7000, 69.99999844,-32.97612122, 10.20661885,-22.76950237
        8000, 79.99999821,-34.25151133, 11.50239834,-22.74911299
        9000, 89.99999799,-38.70170239, 15.94456508,-22.75713731
       10000, 99.99999776,-36.50531139, 13.74639777,-22.75891362
       11000,109.99999754,-36.09600455, 13.35382479,-22.74217976
       12000,119.99999732,-35.15792771, 12.42984900,-22.72807871
       13000,129.99999709,-33.43209873, 10.67696901,-22.75512972
       14000,139.99999687,-37.06537691, 14.27791273,-22.78746418
       15000,149.99999665,-34.96656692, 12.21968432,-22.74688260
       16000,159.99999642,-35.85653514, 13.10706142,-22.74947372
       17000,169.99999620,-34.73589331, 11.99278264,-22.74311067
       18000,179.99999598,-37.54053914, 14.80868397,-22.73185517
       19000,189.99999575,-37.02616861, 14.28616751,-22.74000111
       20000,199.99999553,-35.70084706, 12.97453525,-22.72631182
       21000,209.99999531,-40.28603258, 17.55563307,-22.73039951
       22000,219.99999508,-34.81694746, 12.08852407,-22.72842339
       23000,229.99999486,-34.44878268, 11.71649159,-22.73229110
       24000,239.99999464,-35.38010201, 12.64753520,-22.73256681
       25000,249.99999441,-36.64024299, 13.89469600,-22.74554699
       26000,259.99999419,-36.84405087, 14.10681818,-22.73723269
       27000,269.99999397,-35.35116103, 12.59371750,-22.75744354
       28000,279.99999374,-42.03842720, 19.28233481,-22.75609239
       29000,289.99999352,-35.61383056, 12.87319923,-22.74063133
       30000,299.99999329,-39.07567107, 16.32568077,-22.74999030
       31000,309.99999307,-35.14535448, 12.40245171,-22.74290277
       32000,319.99999285,-37.10564665, 14.36743421,-22.73821244
       33000,329.99999262,-36.20914474, 13.48123635,-22.72790840
       34000,339.99999240,-35.72475111, 13.00325696,-22.72149415
       35000,349.99999218,-38.36435213, 15.63589875,-22.72845339
       36000,359.99999195,-34.74683652, 12.02038771,-22.72644881
       37000,369.99999173,-37.38388060, 14.66136715,-22.72251345
       38000,379.99999151,-36.84688427, 14.11202739,-22.73485688
       39000,389.99999128,-32.77343180, 10.05444774,-22.71898406
       40000,399.99999106,-36.02311291, 13.32168467,-22.70142824
       41000,409.99999084,-37.21307332, 14.48175513,-22.73131818
       42000,419.99999061,-36.67707795, 13.89946412,-22.77761383
       43000,429.99999039,-31.85300063,  9.13810053,-22.71490011
       44000,439.99999017,-37.87709608, 15.14406262,-22.73303346
       45000,449.99998994,-33.61628519, 10.90512619,-22.71115899
       46000,459.99998972,-35.09042453, 12.36917987,-22.72124466
       47000,469.99998949,-39.76869308, 17.03976070,-22.72893238
       48000,479.99998927,-33.45036369, 10.71322222,-22.73714147
       49000,489.99998905,-36.49071195, 13.75036847,-22.74034348
       50000,499.99998882,-35.74255381, 12.99635121,-22.74620260
       51000,509.99998860,-36.23950698, 13.50544051,-22.73406647
       52000,519.99998838,-34.76551902, 12.03844283,-22.72707620
       53000,529.99998815,-35.05252373, 12.32850147,-22.72402225
       54000,539.99998793,-37.19958635, 14.47567723,-22.72390913
       55000,549.99998771,-37.57257257, 14.84360486,-22.72896770
       56000,559.99998748,-33.78386044, 11.08259113,-22.70126931
       57000,569.99998726,-34.65750836, 11.93560413,-22.72190423
       58000,579.99998704,-38.65295975, 15.93399463,-22.71896513
       59000,589.99998681,-35.43703280, 12.72876704,-22.70826576
       60000,599.99998659,-39.62858834, 16.90082314,-22.72776521
       61000,609.99998637,-35.20769535, 12.49128168,-22.71641368
       62000,619.99998614,-35.41906485, 12.70529166,-22.71377319
       63000,629.99998592,-34.07637953, 11.36476085,-22.71161868
       64000,639.99998569,-37.33874880, 14.61158851,-22.72716030
       65000,649.99998547,-33.95843138, 11.26517390,-22.69325748
       66000,659.99998525,-38.96779468, 16.26973194,-22.69806274
       67000,669.99998502,-33.39286406, 10.71081686,-22.68204720
       68000,679.99998480,-36.74880002, 14.03405028,-22.71474975
       69000,689.99998458,-38.47049601, 15.75417278,-22.71632324
       70000,699.99998435,-39.54171159, 16.83884317,-22.70286843
       71000,709.99998413,-36.38090231, 13.67581577,-22.70508654
       72000,719.99998391,-40.02007240, 17.30848248,-22.71158992
       73000,729.99998368,-34.68331332, 12.00223788,-22.68107544
       74000,739.99998346,-35.34494534, 12.66564310,-22.67930224
       75000,749.99998324,-35.70036459, 13.02877014,-22.67159445
       76000,759.99998301,-35.41064227, 12.72409390,-22.68654837
       77000,769.99998279,-39.04419513, 16.34173950,-22.70245563
       78000,779.99998257,-38.44924341, 15.73845302,-22.71079039
       79000,789.99998234,-36.42909481, 13.71965351,-22.70944130
       80000,799.99998212,-34.93862007, 12.25881662,-22.67980345
       81000,809.99998190,-36.74179930, 14.05314665,-22.68865264
       82000,819.99998167,-35.11237680, 12.43245852,-22.67991828
       83000,829.99998145,-33.63251500, 10.94979169,-22.68272331
       84000,839.99998122,-38.53211415, 15.83789457,-22.69421958
       85000,849.99998100,-35.90171555, 13.23895679,-22.66275876
       86000,859.99998078,-35.68569764, 13.01206138,-22.67363626
       87000,869.99998055,-39.60242139, 16.89882852,-22.70359287
       88000,879.99998033,-38.51030098, 15.80158820,-22.70871278
       89000,889.99998011,-38.92804649, 16.22996187,-22.69808462
       90000,899.99997988,-36.05678262, 13.35647192,-22.70031069
       91000,909.99997966,-38.72131456, 16.02739369,-22.69392087
       92000,919.99997944,-37.25397329, 14.56377543,-22.69019787
       93000,929.99997921,-37.99562793, 15.28555145,-22.71007647
       94000,939.99997899,-35.61990750, 12.93160314,-22.68830436
       95000,949.99997877,-37.62201265, 14.91800876,-22.70400389
       96000,959.99997854,-33.34238594, 10.66868661,-22.67369933
       97000,969.99997832,-39.31873516, 16.64114341,-22.67759174
       98000,979.99997810,-34.98533377, 12.30933524,-22.67599853
       99000,989.99997787,-36.59208588, 13.90883313,-22.68325275
      100000,999.99997765,-36.79231380, 14.13937252,-22.65294128
      101000,1009.99997742,-36.47547226, 13.78871418,-22.68675807
      102000,1019.99997720,-35.00849498, 12.33585283,-22.67264214
      103000,1029.99997698,-34.83643112, 12.17133899,-22.66509212
      104000,1039.99997675,-34.34553332, 11.68165705,-22.66387627
      105000,1049.99997653,-38.50991607, 15.84893624,-22.66097983
      106000,1059.99997631,-37.15292985, 14.48658893,-22.66634092
      107000,1069.99997608,-35.95398636, 13.28175719,-22.67222917
      108000,1079.99997586,-35.64677210, 12.97990950,-22.66686260
      109000,1089.99997564,-32.92462307, 10.25290046,-22.67172261
      110000,1099.99997541,-34.63317003, 11.96070272,-22.67246731
      111000,1109.99997519,-31.75165678,  9.09363151,-22.65802526
      112000,1119.99997497,-34.46270959, 11.80002443,-22.66268516
      113000,1129.99997474,-36.65704828, 13.99994876,-22.65709952
      114000,1139.99997452,-37.96489834, 15.32411493,-22.64078342
      115000,1149.99997430,-38.46831663, 15.79842535,-22.66989128
      116000,1159.99997407,-37.31900489, 14.63243024,-22.68657465
      117000,1169.99997385,-35.08504284, 12.43016379,-22.65487905
      118000,1179.99997362,-33.42041712, 10.74676756,-22.67364955
      119000,1189.99997340,-34.79628627, 12.11792147,-22.67836480
      120000,1199.99997318,-34.88489148, 12.22166757,-22.66322390
      121000,1209.99997295,-30.90460204,  8.25743578,-22.64716626
      122000,1219.99997273,-36.85439193, 14.18797893,-22.66641300
      123000,1229.99997251,-38.62585318, 15.95313881,-22.67271438
      124000,1239.99997228,-34.90128791, 12.22544184,-22.67584607
      125000,1249.99997206,-34.57310652, 11.90978184,-22.66332468
      126000,1259.99997184,-36.14890965, 13.45302735,-22.69588230
      127000,1269.99997161,-37.79639222, 15.11643025,-22.67996197
      128000,1279.99997139,-39.25371424, 16.57523092,-22.67848333
      129000,1289.99997117,-36.39912687, 13.72869758,-22.67042929
      130000,1299.99997094,-36.29516854, 13.63050583,-22.66466271
      131000,1309.99997072,-39.27506551, 16.59867080,-22.67639472
      132000,1319.99997050,-35.35178058, 12.69736420,-22.65441639
      133000,1329.99997027,-39.48698041, 16.82104736,-22.66593306
      134000,1339.99997005,-34.48997099, 11.83546565,-22.65450534
      135000,1349.99996983,-37.10382965, 14.44470218,-22.65912747
      136000,1359.99996960,-37.77900516, 15.11663437,-22.66237079
      137000,1369.99996938,-35.67361435, 12.99490446,-22.67870989
      138000,1379.99996915,-35.75334496, 13.08500858,-22.66833639
      139000,1389.99996893,-36.95957899, 14.28448777,-22.67509123
      140000,1399.99996871,-38.18561905, 15.52709986,-22.65851918
      141000,1409.99996848,-33.47353883, 10.82156611,-22.65197272
      142000,1419.99996826,-36.94187411, 14.29716576,-22.64470834
      143000,1429.99996804,-35.10599341, 12.43216076,-22.67383264
      144000,1439.99996781,-35.64679823, 13.00109619,-22.64570204
      145000,1449.99996759,-34.29876673, 11.65804725,-22.64071948
      146000,1459.99996737,-37.37553535, 14.75371881,-22.62181654
      147000,1469.99996714,-36.32364232, 13.69945124,-22.62419108
      148000,1479.99996692,-33.52809944, 10.89473473,-22.63336471
      149000,1489.99996670,-36.60974608, 13.96019934,-22.64954674
      150000,1499.99996647,-36.03054471, 13.38064300,-22.64990171
      151000,1509.99996625,-40.08056892, 17.42583024,-22.65473868
      152000,1519.99996603,-37.41212002, 14.77716801,-22.63495200
      153000,1529.99996580,-35.20805764, 12.56686312,-22.64119452
      154000,1539.99996558,-36.11539452, 13.49664851,-22.61874601
      155000,1549.99996535,-33.67465146, 11.05748892,-22.61716253
      156000,1559.99996513,-33.30010418, 10.67541298,-22.62469120
      157000,1569.99996491,-33.42843448, 10.77797159,-22.65046289
      158000,1579.99996468,-37.23575384, 14.59494698,-22.64080686
      159000,1589.99996446,-35.89795345, 13.24547429,-22.65247916
      160000,1599.99996424,-39.21380598, 16.57752398,-22.63628200
      161000,1609.99996401,-37.93961982, 15.28374847,-22.65587136
      162000,1619.99996379,-34.87271214, 12.22011739,-22.65259475
      163000,1629.99996357,-36.47198392, 13.84114334,-22.63084058
      164000,1639.99996334,-34.40450281, 11.77125463,-22.63324818
      165000,1649.99996312,-33.52116090, 10.87010502,-22.65105588
      166000,1659.99996290,-38.17083145, 15.51894552,-22.65188593
      167000,1669.99996267,-36.74892389, 14.09436108,-22.65456281
      168000,1679.99996245,-38.03927644, 15.39002633,-22.64925011
      169000,1689.99996223,-36.76014619, 14.10003245,-22.66011374
      170000,1699.99996200,-35.88090517, 13.21946622,-22.66143895
      171000,1709.99996178,-37.55351572, 14.90508538,-22.64843034
      172000,1719.99996156,-35.22661406, 12.58110786,-22.64550620
      173000,1729.99996133,-38.45805274, 15.78881926,-22.66923348
      174000,1739.99996111,-35.57678981, 12.92846071,-22.64832910
      175000,1749.99996088,-37.31501412, 14.67740927,-22.63760485
      176000,1759.99996066,-38.08851964, 15.42754570,-22.66097394
      177000,1769.99996044,-36.22339354, 13.58901142,-22.63438212
      178000,1779.99996021,-36.07516559, 13.43099752,-22.64416807
      179000,1789.99995999,-35.53484086, 12.91045385,-22.62438701
      180000,1799.99995977,-36.58496354, 13.96897446,-22.61598908
